Mode,Relationship,Coefficient,Intercept,R-squared
HP,Winner Kills vs Avg Total Kills,0.3308157263677217,0.4983245178447484,0.4782265292395571
HP,Winner Kills vs Total Kills,0.8983271468178124,0.06171553063303736,0.9907085009557609
HP,Win Kills vs Loser Kills,0.8405397890968827,0.006084656034856084,0.9547262591636466
HP,Winner Avg Kills vs Avg Total Kills,0.9082679361802283,0.09823882405112072,0.9650401148239146
HP,Winner Kills vs Kill-Mode Distribution,0.7707943026854099,-0.16002826079410376,0.8774707021061044
HP,Avg Winner Kills vs Winner Kills,1.3081777945853816,-0.2137259327231642,0.4581308903724739
HP,Avg Winner Kills vs Winner Kills,1.3081777945853816,-0.2137259327231642,0.4581308903724739
S&D,Winner Kills vs Avg Total Kills,0.18654096558120203,-0.0022553841145691936,0.8589591639450896
S&D,Winner Kills vs Total Kills,0.2835453531005898,-0.006365694245177751,0.9325601224334495
S&D,Win Kills vs Loser Kills,1.6460731438997553,-0.018343663634656115,0.9905907258723375
S&D,Winner Avg Kills vs Avg Total Kills,0.9720234986896729,-0.005964790640912706,0.8741068270368747
S&D,Winner Kills vs Kill-Mode Distribution,2.9926520597949375,0.06924471584792258,0.990769690230633
S&D,Avg Winner Kills vs Winner Kills,4.064577307987413,0.007315672350056673,0.6191810893186556
S&D,Avg Winner Kills vs Winner Kills,4.064577307987413,0.007315672350056673,0.6191810893186556
CTRL,Winner Kills vs Avg Total Kills,0.1836095408516062,0.2524940534374137,0.2859154003224642
CTRL,Winner Kills vs Total Kills,0.3840090448740406,-0.002459154750151349,0.6085344009574718
CTRL,Win Kills vs Loser Kills,1.857444772631026,-0.010124459251556028,0.8914941449606675
CTRL,Winner Avg Kills vs Avg Total Kills,0.6883866581837256,0.11648316821939667,0.8627779902277583
CTRL,Winner Kills vs Kill-Mode Distribution,1.5627175906594912,-0.18581312521496912,0.8911067000009796
CTRL,Avg Winner Kills vs Winner Kills,0.85152816488986,0.10663734146096751,0.15566290942322958
CTRL,Avg Winner Kills vs Winner Kills,0.85152816488986,0.10663734146096751,0.15566290942322958
