date,t1,t2,tm_1_score,tm_2_score,tm_1_win
2020-02-23 00:00:00,HERETICS,FAZE,0,3,False
2020-02-23 00:00:00,RØKKR,FAZE,2,3,False
2020-02-22 00:00:00,THIEVES,HERETICS,1,3,False
2020-01-26 00:00:00,TEXAS,THIEVES,3,0,True
2020-03-07 00:00:00,RØKKR,THIEVES,0,3,False
2020-02-22 00:00:00,FAZE,THIEVES,3,0,True
2020-02-09 00:00:00,SURGE,GUERRILLAS,3,2,True
2020-03-07 00:00:00,GUERRILLAS,SURGE,0,3,False
2020-03-07 00:00:00,GUERRILLAS,THIEVES,2,3,False
2020-04-11 00:00:00,HERETICS,GUERRILLAS,3,1,True
2020-04-24 00:00:00,SURGE,GUERRILLAS,3,0,True
2020-04-25 00:00:00,GUERRILLAS,THIEVES,3,1,True
2020-04-25 00:00:00,GUERRILLAS,SURGE,1,3,False
2020-05-22 00:00:00,GUERRILLAS,RAVENS,2,3,False
2020-01-25 00:00:00,GUERRILLAS,HERETICS,3,2,True
2020-05-23 00:00:00,GUERRILLAS,SUBLINERS,1,3,False
2021-04-12 00:00:00,FAZE,ULTRA,3,5,False
2021-04-22 00:00:00,ULTRA,HERETICS,3,0,True
2021-04-30 00:00:00,ULTRA,GUERRILLAS,3,0,True
2021-05-02 00:00:00,ULTRA,RØKKR,3,1,True
2021-05-08 00:00:00,LEGION,ULTRA,0,3,False
2021-05-15 00:00:00,ULTRA,FAZE,2,3,False
2021-05-16 00:00:00,ULTRA,TEXAS,3,2,True
2021-05-16 00:00:00,ULTRA,THIEVES,3,1,True
2021-05-16 00:00:00,FAZE,ULTRA,3,2,True
2021-03-06 00:00:00,ULTRA,THIEVES,0,3,False
2021-03-19 00:00:00,THIEVES,ULTRA,3,2,True
2021-03-21 00:00:00,FAZE,ULTRA,3,0,True
2021-03-27 00:00:00,ULTRA,GUERRILLAS,3,2,True
2021-04-02 00:00:00,RAVENS,ULTRA,0,3,False
2021-04-04 00:00:00,ULTRA,SUBLINERS,1,3,False
2021-04-08 00:00:00,ULTRA,TEXAS,3,1,True
2021-04-09 00:00:00,ULTRA,FAZE,1,3,False
2021-04-11 00:00:00,THIEVES,ULTRA,0,3,False
2020-08-20 00:00:00,RAVENS,ULTRA,1,3,False
2020-08-21 00:00:00,HERETICS,ULTRA,1,3,False
2020-08-23 00:00:00,ULTRA,RAVENS,1,3,False
2021-02-13 00:00:00,ULTRA,HERETICS,3,1,True
2021-02-22 00:00:00,ULTRA,FAZE,1,3,False
2021-02-24 00:00:00,ULTRA,TEXAS,1,3,False
2021-02-26 00:00:00,LEGION,ULTRA,3,2,True
2021-02-27 00:00:00,GUERRILLAS,ULTRA,3,2,True
2021-03-03 00:00:00,ULTRA,RAVENS,3,2,True
2020-06-13 00:00:00,ULTRA,TEXAS,0,3,False
2020-06-19 00:00:00,ULTRA,FAZE,2,3,False
2020-06-20 00:00:00,ULTRA,THIEVES,3,0,True
2020-06-20 00:00:00,ULTRA,SUBLINERS,1,3,False
2020-07-10 00:00:00,LEGION,ULTRA,1,3,False
2020-07-11 00:00:00,ULTRA,FAZE,3,2,True
2020-07-12 00:00:00,ULTRA,SUBLINERS,0,3,False
2020-07-24 00:00:00,THIEVES,ULTRA,2,3,False
2020-07-25 00:00:00,TEXAS,ULTRA,2,3,False
2020-02-08 00:00:00,RAVENS,ULTRA,3,1,True
2020-02-09 00:00:00,LEGION,ULTRA,3,1,True
2020-02-22 00:00:00,LEGION,ULTRA,3,1,True
2020-02-22 00:00:00,TEXAS,ULTRA,3,2,True
2020-04-10 00:00:00,HERETICS,ULTRA,2,3,False
2020-04-11 00:00:00,ULTRA,HERETICS,1,3,False
2020-05-08 00:00:00,ULTRA,SUBLINERS,3,1,True
2020-05-10 00:00:00,THIEVES,ULTRA,3,2,True
2020-05-09 00:00:00,RØKKR,ULTRA,1,3,False
2020-01-26 00:00:00,LEGION,RAVENS,3,0,True
2020-04-11 00:00:00,LEGION,TEXAS,1,3,False
2021-03-05 00:00:00,LEGION,HERETICS,1,3,False
2020-07-18 00:00:00,LEGION,GUERRILLAS,3,1,True
2021-05-14 00:00:00,RAVENS,LEGION,3,1,True
2021-07-22 00:00:00,SUBLINERS,LEGION,3,2,True
2021-07-24 00:00:00,LEGION,RAVENS,2,3,False
2022-05-27 00:00:00,ULTRA,LEGION,3,0,True
2022-12-17 00:00:00,RØKKR,LEGION,2,3,False
2023-02-25 00:00:00,LEGION,FAZE,1,3,False
2023-05-06 00:00:00,LEGION,SUBLINERS,3,2,True
2023-12-16 00:00:00,LEGION,SUBLINERS,0,3,False
2024-03-16 00:00:00,RAVENS,LEGION,0,3,False
2020-02-22 00:00:00,RAVENS,FAZE,1,3,False
2020-04-26 00:00:00,SURGE,FAZE,1,3,False
2020-06-21 00:00:00,HERETICS,FAZE,3,0,True
2020-07-11 00:00:00,FAZE,GUERRILLAS,3,1,True
2021-02-14 00:00:00,TEXAS,FAZE,2,3,False
2021-02-12 00:00:00,GUERRILLAS,FAZE,0,3,False
2021-02-25 00:00:00,HERETICS,FAZE,1,3,False
2021-03-06 00:00:00,GUERRILLAS,FAZE,0,3,False
2021-03-18 00:00:00,FAZE,SUBLINERS,3,1,True
2021-03-27 00:00:00,FAZE,THIEVES,3,0,True
2021-04-02 00:00:00,GUERRILLAS,FAZE,3,2,True
2020-07-12 00:00:00,TEXAS,FAZE,3,0,True
2020-07-24 00:00:00,RØKKR,FAZE,0,3,False
2020-07-26 00:00:00,FAZE,THIEVES,3,0,True
2020-08-22 00:00:00,FAZE,TEXAS,3,2,True
2020-08-29 00:00:00,FAZE,TEXAS,3,1,True
2020-05-09 00:00:00,RAVENS,FAZE,1,3,False
2020-05-10 00:00:00,THIEVES,FAZE,1,3,False
2020-06-12 00:00:00,FAZE,SURGE,3,2,True
2020-06-14 00:00:00,GUERRILLAS,FAZE,2,3,False
2020-06-14 00:00:00,HERETICS,FAZE,3,1,True
2020-06-20 00:00:00,SUBLINERS,FAZE,2,3,False
2020-03-07 00:00:00,HERETICS,FAZE,0,3,False
2020-03-08 00:00:00,RØKKR,FAZE,3,2,True
2020-04-24 00:00:00,RAVENS,FAZE,0,3,False
2024-03-21 00:00:00,LEGION,ULTRA,0,3,False
2024-03-22 00:00:00,SURGE,LEGION,1,3,False
2024-04-12 00:00:00,GUERRILLAS,LEGION,0,3,False
2024-03-23 00:00:00,LEGION,RAVENS,2,3,False
2024-04-14 00:00:00,LEGION,THIEVES,2,3,False
2024-04-30 00:00:00,SURGE,LEGION,3,0,True
2024-04-30 00:00:00,LEGION,TEXAS,0,3,False
2024-05-03 00:00:00,LEGION,FAZE,0,3,False
2024-05-04 00:00:00,SUBLINERS,LEGION,3,0,True
2024-01-13 00:00:00,TEXAS,LEGION,3,2,True
2024-01-14 00:00:00,LEGION,FAZE,0,3,False
2024-01-20 00:00:00,ULTRA,LEGION,3,1,True
2024-02-18 00:00:00,GUERRILLAS,LEGION,1,3,False
2024-02-23 00:00:00,HERETICS,LEGION,2,3,False
2024-02-24 00:00:00,LEGION,ULTRA,1,3,False
2024-03-02 00:00:00,LEGION,BREACH,3,0,True
2023-05-12 00:00:00,FAZE,LEGION,3,0,True
2024-03-10 00:00:00,THIEVES,LEGION,3,1,True
2024-03-15 00:00:00,SURGE,LEGION,1,3,False
2023-05-20 00:00:00,LEGION,SURGE,3,1,True
2023-05-14 00:00:00,LEGION,RØKKR,3,2,True
2023-05-25 00:00:00,LEGION,FAZE,0,3,False
2023-05-26 00:00:00,SURGE,LEGION,0,3,False
2023-05-27 00:00:00,SUBLINERS,LEGION,3,0,True
2023-12-09 00:00:00,LEGION,RØKKR,3,2,True
2023-12-10 00:00:00,LEGION,RAVENS,2,3,False
2023-12-15 00:00:00,HERETICS,LEGION,3,1,True
2023-03-03 00:00:00,LEGION,RØKKR,3,2,True
2023-03-04 00:00:00,GUERRILLAS,LEGION,3,1,True
2023-03-10 00:00:00,LEGION,GUERRILLAS,3,1,True
2023-03-10 00:00:00,THIEVES,LEGION,1,3,False
2023-03-11 00:00:00,BREACH,LEGION,3,0,True
2023-03-31 00:00:00,BREACH,LEGION,1,3,False
2023-04-20 00:00:00,LEGION,SUBLINERS,0,3,False
2023-04-21 00:00:00,HERETICS,LEGION,3,2,True
2023-05-05 00:00:00,LEGION,TEXAS,2,3,False
2022-12-17 00:00:00,SUBLINERS,LEGION,3,1,True
2023-01-13 00:00:00,LEGION,SURGE,3,2,True
2023-01-21 00:00:00,BREACH,LEGION,3,1,True
2023-01-22 00:00:00,LEGION,RAVENS,1,3,False
2023-01-27 00:00:00,LEGION,SUBLINERS,0,3,False
2023-01-28 00:00:00,LEGION,TEXAS,3,1,True
2023-02-03 00:00:00,LEGION,GUERRILLAS,2,3,False
2023-02-17 00:00:00,THIEVES,LEGION,1,3,False
2023-02-19 00:00:00,LEGION,ULTRA,1,3,False
2022-06-03 00:00:00,ULTRA,LEGION,3,1,True
2022-07-15 00:00:00,FAZE,LEGION,3,2,True
2022-12-02 00:00:00,LEGION,THIEVES,1,3,False
2022-12-03 00:00:00,HERETICS,LEGION,3,2,True
2022-12-10 00:00:00,FAZE,LEGION,3,0,True
2022-12-11 00:00:00,RØKKR,LEGION,1,3,False
2022-12-15 00:00:00,LEGION,THIEVES,2,3,False
2022-12-15 00:00:00,LEGION,BREACH,3,2,True
2022-12-16 00:00:00,LEGION,FAZE,1,3,False
2022-03-13 00:00:00,RØKKR,LEGION,3,2,True
2022-03-18 00:00:00,RAVENS,LEGION,3,2,True
2022-03-19 00:00:00,SUBLINERS,LEGION,3,1,True
2022-03-25 00:00:00,LEGION,ULTRA,3,2,True
2022-04-01 00:00:00,RAVENS,LEGION,3,1,True
2022-05-07 00:00:00,SUBLINERS,LEGION,3,0,True
2022-05-14 00:00:00,RAVENS,LEGION,3,2,True
2022-05-15 00:00:00,LEGION,SURGE,1,3,False
2022-05-21 00:00:00,SUBLINERS,LEGION,3,0,True
2022-05-22 00:00:00,GUERRILLAS,LEGION,3,2,True
2021-07-30 00:00:00,SURGE,LEGION,3,1,True
2022-01-21 00:00:00,THIEVES,LEGION,3,1,True
2022-02-04 00:00:00,LEGION,FAZE,2,3,False
2022-02-06 00:00:00,LEGION,HERETICS,1,3,False
2022-02-12 00:00:00,TEXAS,LEGION,3,0,True
2022-02-18 00:00:00,THIEVES,LEGION,3,1,True
2022-03-12 00:00:00,LEGION,GUERRILLAS,0,3,False
2021-05-27 00:00:00,LEGION,FAZE,1,3,False
2021-05-29 00:00:00,LEGION,RØKKR,1,3,False
2021-06-05 00:00:00,LEGION,THIEVES,3,1,True
2021-06-06 00:00:00,LEGION,TEXAS,1,3,False
2021-06-14 00:00:00,SURGE,LEGION,1,3,False
2021-06-18 00:00:00,LEGION,SURGE,0,3,False
2021-07-08 00:00:00,LEGION,TEXAS,0,3,False
2021-07-10 00:00:00,LEGION,FAZE,0,3,False
2021-07-18 00:00:00,THIEVES,LEGION,1,3,False
2020-07-19 00:00:00,SUBLINERS,LEGION,0,3,False
2020-07-19 00:00:00,RAVENS,LEGION,2,3,False
2020-08-19 00:00:00,LEGION,SURGE,3,0,True
2020-08-22 00:00:00,RAVENS,LEGION,3,1,True
2021-02-12 00:00:00,LEGION,TEXAS,0,3,False
2021-02-13 00:00:00,LEGION,GUERRILLAS,2,3,False
2021-02-23 00:00:00,LEGION,HERETICS,3,0,True
2021-02-27 00:00:00,LEGION,FAZE,2,3,False
2021-03-19 00:00:00,LEGION,RØKKR,3,0,True
2021-03-20 00:00:00,TEXAS,LEGION,3,1,True
2021-03-28 00:00:00,LEGION,SURGE,0,3,False
2021-04-03 00:00:00,LEGION,HERETICS,3,1,True
2021-04-07 00:00:00,THIEVES,LEGION,3,0,True
2021-04-24 00:00:00,LEGION,GUERRILLAS,0,3,False
2021-04-30 00:00:00,RØKKR,LEGION,3,1,True
2021-05-02 00:00:00,HERETICS,LEGION,1,3,False
2020-05-09 00:00:00,THIEVES,LEGION,3,0,True
2020-05-08 00:00:00,LEGION,FAZE,1,3,False
2020-05-22 00:00:00,LEGION,TEXAS,1,3,False
2020-05-23 00:00:00,LEGION,THIEVES,1,3,False
2020-06-19 00:00:00,HERETICS,LEGION,3,0,True
2020-06-20 00:00:00,LEGION,RAVENS,1,3,False
